Age,Gender,WorkingClass,Education,MaritalStatus,Occupation,Relationship,Race,NativeCountry,Income
25,Male,Private,11th,Never-married,Machine-op-inspct,Own-child,Black,United-States,<=50K
38,Male,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,United-States,<=50K
28,Male,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,United-States,>50K
44,Male,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,United-States,>50K
18,Female,?,Some-college,Never-married,?,Own-child,White,United-States,<=50K
34,Male,Private,10th,Never-married,Other-service,Not-in-family,White,United-States,<=50K
29,Male,?,HS-grad,Never-married,?,Unmarried,Black,United-States,<=50K
63,Male,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
24,Female,Private,Some-college,Never-married,Other-service,Unmarried,White,United-States,<=50K
55,Male,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
65,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,>50K
36,Male,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,United-States,<=50K
26,Female,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,<=50K
58,Male,?,HS-grad,Married-civ-spouse,?,Husband,White,United-States,<=50K
48,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,>50K
43,Male,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
20,Male,State-gov,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
43,Female,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,United-States,<=50K
37,Female,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,White,United-States,<=50K
40,Male,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,?,>50K
34,Male,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,United-States,>50K
34,Female,Private,Some-college,Never-married,Other-service,Own-child,Black,United-States,<=50K
72,Female,?,7th-8th,Divorced,?,Not-in-family,White,United-States,<=50K
25,Male,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Peru,<=50K
25,Male,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,<=50K
45,Male,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,>50K
22,Male,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,<=50K
23,Male,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Black,United-States,<=50K
54,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
32,Male,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
46,Male,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,United-States,>50K
56,Female,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,White,United-States,<=50K
24,Male,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,United-States,<=50K
23,Male,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,United-States,<=50K
26,Female,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,United-States,<=50K
65,Male,?,HS-grad,Married-civ-spouse,?,Husband,White,United-States,<=50K
36,Male,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
22,Male,Private,5th-6th,Never-married,Priv-house-serv,Not-in-family,White,Guatemala,<=50K
17,Male,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,United-States,<=50K
20,Male,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,<=50K
65,Male,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
44,Male,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,United-States,>50K
36,Male,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,United-States,<=50K
29,Male,Private,11th,Married-civ-spouse,Other-service,Husband,White,United-States,<=50K
20,Male,State-gov,Some-college,Never-married,Farming-fishing,Own-child,White,United-States,<=50K
28,Female,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,United-States,>50K
39,Male,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Mexico,<=50K
54,Male,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,United-States,<=50K
52,Female,Private,11th,Separated,Priv-house-serv,Not-in-family,Black,United-States,<=50K
56,Female,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,United-States,<=50K
18,Male,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
39,Male,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,Black,United-States,<=50K
21,Female,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
22,Male,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,>50K
38,Male,Private,9th,Married-spouse-absent,Exec-managerial,Not-in-family,White,Mexico,<=50K
21,Female,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,<=50K
63,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
34,Male,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
42,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
33,Male,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,<=50K
30,Female,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
39,Male,Private,Some-college,Divorced,Sales,Not-in-family,White,United-States,<=50K
26,Female,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
33,Female,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,United-States,<=50K
47,Female,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,<=50K
41,Female,Private,Bachelors,Never-married,Other-service,Not-in-family,White,?,<=50K
41,Male,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,United-States,>50K
19,Male,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
46,Male,Private,HS-grad,Separated,Transport-moving,Not-in-family,White,United-States,<=50K
43,Male,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,<=50K
55,Male,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
46,Male,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,United-States,<=50K
30,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Mexico,<=50K
21,Female,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,White,United-States,<=50K
46,Male,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Other,Dominican-Republic,<=50K
17,Male,?,10th,Never-married,?,Own-child,White,United-States,<=50K
41,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
69,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,<=50K
50,Male,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,<=50K
20,Female,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,<=50K
45,Male,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
23,Male,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
24,Male,Private,Some-college,Separated,Other-service,Not-in-family,White,United-States,<=50K
44,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,?,>50K
31,Male,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
43,Female,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,United-States,<=50K
20,Female,Federal-gov,11th,Never-married,Other-service,Own-child,White,United-States,<=50K
55,Male,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,>50K
24,Male,Federal-gov,Some-college,Never-married,Armed-Forces,Not-in-family,White,United-States,<=50K
41,Female,?,Masters,Married-civ-spouse,?,Wife,White,United-States,>50K
59,Female,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
49,Male,Federal-gov,7th-8th,Never-married,Other-service,Not-in-family,Black,United-States,<=50K
33,Female,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,United-States,>50K
59,Male,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,White,United-States,<=50K
34,Male,Private,Masters,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,United-States,<=50K
20,Male,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,United-States,<=50K
25,Female,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,United-States,<=50K
49,Male,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,United-States,<=50K
59,Male,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,>50K
20,Female,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,<=50K
51,Female,?,Some-college,Married-civ-spouse,?,Wife,White,United-States,<=50K
33,Female,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,United-States,<=50K
22,Male,Private,Some-college,Never-married,Transport-moving,Own-child,Black,United-States,<=50K
58,Female,Self-emp-not-inc,9th,Widowed,Other-service,Not-in-family,White,United-States,<=50K
52,Female,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,White,United-States,<=50K
